adm3_pcode,adm3_name,adm2_name,adm1_name,total_population,populated_hex_count,total_area_km2,populated_area_km2,arithmetic_density,physiographic_density
MMR001001,Myitkyina,Myitkyina,Kachin,384290.0,994,6226.8403,790.5915,61.7151,486.0791
MMR001002,Waingmaw,Myitkyina,Kachin,137784.0,1590,5009.448,1263.3423,27.5048,109.0631
MMR001003,Injangyang,Myitkyina,Kachin,2205.0,232,4715.5882,182.4389,0.4676,12.0862
MMR001004,Tanai,Myitkyina,Kachin,76485.0,508,12346.5147,398.0016,6.1949,192.1726
MMR001005,Chipwi,Myitkyina,Kachin,25432.0,299,3402.9849,234.9602,7.4734,108.2396
MMR001006,Tsawlaw,Myitkyina,Kachin,6226.0,86,3315.7857,67.0455,1.8777,92.8624
MMR001007,Mohnyin,Mohnyin,Kachin,253695.0,802,6335.2773,640.8686,40.0448,395.8612
MMR001008,Mogaung,Mohnyin,Kachin,164366.0,557,3316.6874,443.0311,49.5573,371.0033
MMR001009,Hpakant,Mohnyin,Kachin,404896.0,554,5761.3157,439.4035,70.2784,921.4674
MMR001010,Bhamo,Bhamo,Kachin,166533.0,434,2156.6188,350.394,77.2195,475.2736
MMR001011,Shwegu,Bhamo,Kachin,111871.0,550,3088.8227,444.1268,36.218,251.8898
MMR001012,Momauk,Bhamo,Kachin,66564.0,534,2681.9025,429.765,24.8197,154.8847
MMR001013,Mansi,Bhamo,Kachin,53057.0,695,2898.5899,562.6065,18.3044,94.3057
MMR001014,Puta-O,Puta-O,Kachin,75023.0,596,6141.275,459.4869,12.2162,163.2756
MMR001015,Sumprabum,Puta-O,Kachin,3267.0,86,4948.5846,67.2601,0.6602,48.5726
MMR001016,Machanbaw,Puta-O,Kachin,6183.0,109,3204.4855,83.9516,1.9295,73.6496
MMR001017,Nawngmun,Puta-O,Kachin,8649.0,173,8103.5564,132.4534,1.0673,65.2984
MMR001018,Khaunglanhpu,Puta-O,Kachin,14349.0,143,5323.0473,110.1519,2.6956,130.2656
MMR002001,Loikaw,Loikaw,Kayah,140704.0,349,1539.8635,295.9996,91.3743,475.352
MMR002002,Demoso,Loikaw,Kayah,84709.0,429,1209.51,364.5074,70.0358,232.3931
MMR002003,Hpruso,Loikaw,Kayah,29795.0,203,1651.2821,172.7918,18.0436,172.433
MMR002004,Shadaw,Loikaw,Kayah,7405.0,56,2176.5407,47.5214,3.4022,155.8246
MMR002005,Bawlake,Bawlake,Kayah,11819.0,109,1948.3909,92.894,6.066,127.2311
MMR002006,Hpasawng,Bawlake,Kayah,27865.0,114,1427.8949,97.4082,19.5147,286.0641
